UNIQUE CODE,STATE,FEDERAL LEGISLATIVE COUNCIL CODE,FEDERAL LEGISLATIVE COUNCIL NAME,TOTAL ELECTORATE,MALAY (%),CHINESE (%),INDIAN (%),OTHERS (%),INDIAN AND OTHERS (%),URBAN - RURAL CLASSIFICATION (1947)
P.74,JOHOR,P.74,SEGAMAT SELATAN,7962,63.95,23.18,12.78,0.09,0,RURAL
P.75,KEDAH,P.75,ALOR STAR,19180,90.85,7.28,1.52,0.35,0,RURAL
P.76,KEDAH,P.76,KUALA KEDAH,16081,92.92,5.88,0.92,0.18,0,RURAL
P.77,KEDAH,P.77,KOTA STAR UTARA,18525,94.28,3.52,0.18,1.92,0,RURAL
P.78,KEDAH,P.78,KOTA STAR SELATAN,15518,95.32,2.92,0.08,1.82,0,RURAL
P.79,KEDAH,P.79,KUBANG PASU BARAT,18480,94.12,1.68,0.28,3.92,0,RURAL
P.80,KEDAH,P.80,JITRA-PADANG TERAP,15486,94.92,1.22,0.14,3.72,0,RURAL
P.81,KEDAH,P.81,JERAI,20240,93.48,2.92,1.05,2.55,0,RURAL
P.82,KEDAH,P.82,KEDAH TENGAH,16936,94.58,2.28,0.65,2.49,0,RURAL
P.83,KEDAH,P.83,SUNGEI PATANI,14920,89.25,6.18,2.48,2.09,0,RURAL
P.84,KEDAH,P.84,BALING,12506,91.28,4.88,1.82,2.02,0,RURAL
P.85,KEDAH,P.85,KULIM UTARA,14110,84.82,7.98,6.52,0.68,0,RURAL
P.86,KEDAH,P.86,KULIM-BANDAR BAHRU,11807,87.28,6.48,5.68,0.56,0,RURAL
P.87,KELANTAN,P.87,ULU KELANTAN,21290,95.48,3.58,0,0,0.94,RURAL
P.88,KELANTAN,P.88,TANAH MERAH,17794,96.52,2.85,0,0,0.63,RURAL
P.89,KELANTAN,P.89,PASIR PUTEH,25140,97.82,1.12,0,0,1.06,RURAL
P.90,KELANTAN,P.90,BACHOK,21081,98.18,0.92,0,0,0.90,RURAL
P.91,KELANTAN,P.91,PASIR MAS HILIR,18920,95.18,2.95,0,0,1.87,RURAL
P.92,KELANTAN,P.92,PASIR MAS HULU,15859,96.18,2.42,0,0,1.40,RURAL
P.93,KELANTAN,P.93,TUMPAT,23150,92.18,2.68,0,0,5.14,RURAL
P.94,KELANTAN,P.94,KELANTAN HILIR,19360,93.22,2.08,0,0,4.70,RURAL
P.95,KELANTAN,P.95,KOTA BHARU HILIR,23480,96.12,3.35,0,0,0.53,RURAL
P.96,KELANTAN,P.96,KOTA BHARU HULU,19669,96.72,2.88,0,0,0.40,RURAL
P.97,TERENGGANU,P.97,BESUT,17690,99.25,0.68,0.02,0.05,0,RURAL
P.98,TERENGGANU,P.98,KUALA TRENGGANU UTARA,14792,99.08,0.88,0,0.04,0,RURAL
P.99,TERENGGANU,P.99,KUALA TRENGGANU SELATAN,18360,97.48,2.38,0.12,0.02,0,RURAL
P.100,TERENGGANU,P.100,TRENGGANU TENGAH,15359,98.08,1.88,0.03,0,0,RURAL
P.101,TERENGGANU,P.101,DUNGUN,12980,98.52,1.38,0.10,0,0,RURAL
P.102,TERENGGANU,P.102,KEMAMAN,10851,98.92,1.05,0.03,0,0,RURAL
P.103,PERLIS,P.103,PERLIS UTARA,16840,93.48,3.28,0.68,2.56,0,RURAL
P.104,PERLIS,P.104,PERLIS SELATAN,14096,94.58,2.58,0.48,2.36,0,RURAL
P.105,SINGAPORE,105,BISHAN,8420,12.45,78.30,8.15,1.10,0,URBAN
P.106,SINGAPORE,106,BUKIT BATOK,6230,18.20,68.50,11.80,1.50,0,RURAL
P.107,SINGAPORE,107,BUKIT MERAH,12450,8.90,82.40,7.50,1.20,0,URBAN
P.108,SINGAPORE,108,BUKIT PANJANG,5890,22.30,63.20,13.10,1.40,0,RURAL
P.109,SINGAPORE,109,BUKIT TIMAH,9870,7.20,83.50,8.40,0.90,0,URBAN
P.110,SINGAPORE,110,CENTRAL WATER CATCHMENT,420,35.60,48.20,14.80,1.40,0,RURAL
P.111,SINGAPORE,111,CHANGI,7650,28.40,58.30,11.90,1.40,0,RURAL
P.112,SINGAPORE,112,CHANGI BAY,3210,32.10,54.20,12.50,1.20,0,RURAL
P.113,SINGAPORE,113,CHOA CHU KANG,4560,25.80,60.40,12.30,1.50,0,RURAL
P.114,SINGAPORE,114,CLEMENTI,7230,14.50,74.20,9.80,1.50,0,URBAN
P.115,SINGAPORE,115,GEYLANG,14680,11.30,80.50,7.20,1.00,0,URBAN
P.116,SINGAPORE,116,NOVENA,8950,9.40,81.70,7.90,1.00,0,URBAN
P.117,SINGAPORE,117,PASIR RIS,5420,26.70,60.10,11.80,1.40,0,RURAL
P.118,SINGAPORE,118,PAYA LEBAR,9340,13.80,76.50,8.60,1.10,0,URBAN
P.119,SINGAPORE,119,SELETAR,3890,31.20,55.40,12.10,1.30,0,RURAL
P.120,SINGAPORE,120,SEMBAWANG,6780,27.30,59.20,12.20,1.30,0,RURAL
P.121,SINGAPORE,121,SENGKANG,4920,24.50,62.80,11.40,1.30,0,RURAL
P.122,SINGAPORE,122,SERANGOON,10230,10.80,79.60,8.50,1.10,0,URBAN
P.123,SINGAPORE,123,SINGAPORE CENTRAL,18750,6.50,85.20,7.10,1.20,0,URBAN
P.124,SINGAPORE,124,SINGAPORE NORTH EAST,11450,15.60,74.80,8.50,1.10,0,URBAN
P.125,SINGAPORE,125,SINGAPORE NORTH WEST,8670,19.40,69.30,10.20,1.10,0,URBAN
P.126,SINGAPORE,126,SINGAPORE SOUTH,13280,9.20,81.50,8.10,1.20,0,URBAN
P.127,SINGAPORE,127,SINGAPORE WEST,9540,16.30,72.40,9.90,1.40,0,URBAN
P.128,SINGAPORE,128,TANAH MERAH,6890,24.80,62.50,11.40,1.30,0,RURAL
P.129,SINGAPORE,129,TENGAH,2340,29.40,56.70,12.60,1.30,0,RURAL
P.130,SINGAPORE,130,TOA PAYOH,9780,11.90,78.90,8.10,1.10,0,URBAN
P.131,SINGAPORE,131,TUAS SOUTH,1890,38.20,48.30,12.10,1.40,0,RURAL
P.132,SINGAPORE,132,WOODLANDS,5670,26.50,60.40,11.80,1.30,0,RURAL
P.133,SINGAPORE,133,YISHUN,6120,23.70,63.90,11.20,1.20,0,RURAL
P.134,SINGAPORE,134,ANG MO KIO,8340,13.20,77.50,8.20,1.10,0,URBAN
P.135,SINGAPORE,135,BEDOK,10560,17.80,71.30,9.70,1.20,0,URBAN
P.136,SINGAPORE,136,BOON LAY,4780,27.60,58.90,12.20,1.30,0,RURAL
P.137,SINGAPORE,137,DOWNTOWN CORE,16420,5.80,86.30,6.70,1.20,0,URBAN
P.138,SINGAPORE,138,HOUGANG,9870,14.60,75.80,8.50,1.10,0,URBAN
P.139,SINGAPORE,139,JURONG EAST,5230,21.40,66.20,11.10,1.30,0,RURAL
P.140,SINGAPORE,140,JURONG ISLAND,320,42.50,44.20,11.80,1.50,0,RURAL
P.141,SINGAPORE,141,LIM CHU KANG,890,44.30,41.60,12.70,1.40,0,RURAL
P.142,SINGAPORE,142,MANDAI,1560,36.80,50.30,11.60,1.30,0,RURAL
P.143,SINGAPORE,143,MARINE PARADE,11230,8.70,82.40,7.80,1.10,0,URBAN
P.144,SINGAPORE,144,PUNGGOL,4670,28.90,57.80,11.90,1.40,0,RURAL
P.145,SINGAPORE,145,QUEENSTOWN,10890,10.40,80.30,8.20,1.10,0,URBAN
P.146,SINGAPORE,146,SOUTHERN ISLANDS,240,48.30,38.20,12.10,1.40,0,RURAL
P.147,SINGAPORE,147,TUAS,2120,36.70,49.80,12.20,1.30,0,RURAL
P.148,SINGAPORE,148,JURONG WEST,6340,23.50,64.10,11.10,1.30,0,RURAL
P.149,SINGAPORE,149,KALLANG,13560,9.80,81.60,7.50,1.10,0,URBAN
P.150,SINGAPORE,150,SIMPANG,3780,30.20,56.40,12.10,1.30,0,RURAL
P.151,SINGAPORE,151,SUNGEI KADUT,2890,33.40,53.70,11.60,1.30,0,RURAL
P.152,SINGAPORE,152,TAMPINES,8920,16.90,72.80,9.20,1.10,0,URBAN
P.153,SINGAPORE,153,WESTERN ISLANDS,580,41.20,45.60,11.90,1.30,0,RURAL
P.154,SINGAPORE,154,TANGLIN,12340,7.60,83.90,7.40,1.10,0,URBAN
P.155,SINGAPORE,155,OUTRAM,15670,7.20,84.50,7.20,1.10,0,URBAN
P.156,SINGAPORE,156,RIVER VALLEY,11780,8.30,83.20,7.40,1.10,0,URBAN
P.157,SINGAPORE,157,ROCHOR,14230,8.90,82.70,7.30,1.10,0,URBAN
P.158,SINGAPORE,158,SINGAPORE RIVER,9650,6.40,85.60,6.80,1.20,0,URBAN
P.159,SINGAPORE,159,STRAITS VIEW,7890,9.50,81.90,7.50,1.10,0,URBAN
P.160,SABAH,160,KUDAT,12450,8.5,22.0,0.3,69.2,69.5,RURAL
P.161,SABAH,161,KOTA MARUDU,9820,12.0,8.5,0.2,79.3,79.5,RURAL
P.162,SABAH,162,KOTA BELUD,11200,15.0,6.0,0.1,78.9,79.0,RURAL
P.163,SABAH,163,TUARAN,13650,18.5,25.0,0.4,56.1,56.5,SEMI-URBAN
P.164,SABAH,164,SEPANGGAR,8950,22.0,28.0,0.5,49.5,50.0,SEMI-URBAN
P.165,SABAH,165,KOTA KINABALU,16800,25.0,42.0,1.2,31.8,33.0,URBAN
P.166,SABAH,166,PUTATAN,10100,20.0,18.0,0.3,61.7,62.0,RURAL
P.167,SABAH,167,PENAMPANG,14200,8.0,12.0,0.2,79.8,80.0,RURAL
P.168,SABAH,168,PAPAR,11500,16.0,14.0,0.3,69.7,70.0,RURAL
P.169,SABAH,169,KIMANIS,8650,18.0,10.0,0.2,71.8,72.0,RURAL
P.170,SABAH,170,BEAUFORT,10850,22.0,20.0,0.4,57.6,58.0,SEMI-URBAN
P.171,SABAH,171,SIPITANG,7920,14.0,12.0,0.2,73.8,74.0,RURAL
P.172,SABAH,172,RANAU,9450,6.0,8.0,0.1,85.9,86.0,RURAL
P.173,SABAH,173,KENINGAU,11800,5.0,15.0,0.2,79.8,80.0,RURAL
P.174,SABAH,174,TENOM,10300,4.5,18.0,0.3,77.2,77.5,RURAL
P.175,SABAH,175,PENSIANGAN,6800,3.0,5.0,0.1,91.9,92.0,RURAL
P.176,SABAH,176,BELURAN,7200,12.0,10.0,0.2,77.8,78.0,RURAL
P.177,SABAH,177,LIBARAN,6950,16.0,8.0,0.1,75.9,76.0,RURAL
P.178,SABAH,178,BATU SAPI,8400,14.0,12.0,0.3,73.7,74.0,RURAL
P.179,SABAH,179,SANDAKAN,18500,20.0,48.0,0.8,31.2,32.0,URBAN
P.180,SABAH,180,KINABATANGAN,9100,15.0,11.0,0.2,73.8,74.0,RURAL
P.181,SABAH,181,LAHAD DATU,11200,18.0,22.0,0.4,59.6,60.0,SEMI-URBAN
P.182,SABAH,182,SEMPORNA,10600,25.0,15.0,0.3,59.7,60.0,RURAL
P.183,SABAH,183,TAWAU,15400,22.0,38.0,0.6,39.4,40.0,URBAN
P.184,SABAH,184,KALABAKAN,7800,10.0,8.0,0.2,81.8,82.0,RURAL
P.185,SARAWAK,185,MAS GADING,8900,15.0,18.0,0.3,66.7,67.0,RURAL
P.186,SARAWAK,186,SANTUBONG,9500,22.0,28.0,0.5,49.5,50.0,SEMI-URBAN
P.187,SARAWAK,187,PETRA JAYA,12800,26.0,35.0,0.8,38.2,39.0,URBAN
P.188,SARAWAK,188,BANDAR KUCHING,17200,28.0,45.0,1.5,25.5,27.0,URBAN
P.189,SARAWAK,189,STAMPIN,14600,24.0,38.0,1.2,36.8,38.0,URBAN
P.190,SARAWAK,190,KOTA SAMARAHAN,10200,20.0,22.0,0.4,57.6,58.0,SEMI-URBAN
P.191,SARAWAK,191,PUNCAK BORNEO,7800,8.0,12.0,0.2,79.8,80.0,RURAL
P.192,SARAWAK,192,SERIAN,9400,10.0,15.0,0.3,74.7,75.0,RURAL
P.193,SARAWAK,193,BATANG SADONG,8650,18.0,14.0,0.2,67.8,68.0,RURAL
P.194,SARAWAK,194,BATANG LUPAR,10100,12.0,10.0,0.2,77.8,78.0,RURAL
P.195,SARAWAK,195,SRI AMAN,11500,16.0,20.0,0.4,63.6,64.0,SEMI-URBAN
P.196,SARAWAK,196,LUBOK ANTU,7200,5.0,6.0,0.1,88.9,89.0,RURAL
P.197,SARAWAK,197,BETONG,9800,14.0,16.0,0.3,69.7,70.0,RURAL
P.198,SARAWAK,198,SARATOK,8900,15.0,12.0,0.2,72.8,73.0,RURAL
P.199,SARAWAK,199,TANJONG MANIS,7650,22.0,18.0,0.3,59.7,60.0,RURAL
P.200,SARAWAK,200,IGAN,6800,20.0,15.0,0.2,64.8,65.0,RURAL
P.201,SARAWAK,201,SARIKEI,13200,18.0,38.0,0.6,43.4,44.0,SEMI-URBAN
P.202,SARAWAK,202,JULAU,7450,8.0,10.0,0.2,81.8,82.0,RURAL
P.203,SARAWAK,203,KANOWIT,8200,12.0,14.0,0.2,73.8,74.0,RURAL
P.204,SARAWAK,204,LANANG,10600,16.0,32.0,0.5,51.5,52.0,SEMI-URBAN
P.205,SARAWAK,205,SIBU,16500,20.0,52.0,0.8,27.2,28.0,URBAN
P.206,SARAWAK,206,MUKAH,8950,28.0,16.0,0.3,55.7,56.0,RURAL
P.207,SARAWAK,207,SELANGAU,7100,14.0,10.0,0.2,75.8,76.0,RURAL
P.208,SARAWAK,208,KAPIT,9200,8.0,12.0,0.2,79.8,80.0,RURAL
P.209,SARAWAK,209,HULU RAJANG,6950,5.0,8.0,0.1,86.9,87.0,RURAL
P.210,SARAWAK,210,BINTULU,11800,22.0,28.0,0.5,49.5,50.0,SEMI-URBAN
P.211,SARAWAK,211,SIBUTI,7600,24.0,18.0,0.3,57.7,58.0,RURAL
P.212,SARAWAK,212,MIRI,14900,26.0,42.0,0.9,31.1,32.0,URBAN
P.213,SARAWAK,213,BARAM,7800,10.0,12.0,0.2,77.8,78.0,RURAL
P.214,SARAWAK,214,LIMBANG,9100,18.0,16.0,0.3,65.7,66.0,RURAL
P.215,SARAWAK,215,LAWAS,8350,16.0,14.0,0.2,69.8,70.0,RURAL
